Condition,Frequencies (Hz)
Nervous System Function Stimulate Normal,764
Nervous System Soothe,2
Nervous System Support,764
Nervous System,10
Nervousness Prozac Agitation,3
Neural Tube Defects,"30, 240, 850, 2500, 5870"
Neuralgia,"833, 10000"
Neuralgia Arms,"20, 727, 787, 880, 10000"
Neuralgia General,"802, 833, 1550, 2720, 10000"
"Neuralgia Intercostal,Nerve",802
"Neuralgia Trigeminal,Face",880
"Neuralgia,Nerve","833, 10000"
Neuralgia,"80, 250, 650, 833, 2500, 8000"
Neurilemmoma,"30, 350, 700, 2780, 7250"
Neuritis Nerve Inflammation,"727, 787, 880, 10000"
Neuroblastoma,"40, 180, 780, 2500, 7500"
Neurocysticercosis,"130, 520, 730"
Neuroendocrine Tumors,"110, 490, 5570"
Neurofibromatoses,"170, 350, 830, 7500"
Neuroleptic Malignant Syndrome,"80, 410, 800, 5750, 5500"
Neuroma Acoustic,"50, 350, 620, 970, 2500, 7500"
Neuromuscular Diseases,"10, 350, 6790"
Neuromyelitis Optica,"50, 570, 600, 2250, 5290"
Neuronal Ceroid-Lipofuscinoses,"190, 180, 700, 2250, 5780"
"Neurosis,Mental",28
Neurospora Sitophila,"705, 878"
Neutropenia,"60, 460, 620, 970, 2500"
Nevus Flammeus,"230, 410, 9210"
Nevus,"30, 320, 730, 910, 7520"
Nicotine Cravings,38
Nicotine Withdrawal,10
Niemann-Pick Diseases,"50, 460, 950, 7500"
Nigrospora Species (spp),"302, 350, 764"
Nitric Oxide Generate,"32, 64, 128"
"Nocardia Asteroides,Lung","228,231,237,694,719,747,887,2890, 3600"
Nocardia Infections,"160, 320, 950, 7500"
Nocturia,"50, 370, 850, 2500, 7500"
Nogier D,2349
Nogier E,4698
Nogier F,73
Nogier G,147
Non-Small Cell Lung Carcinoma,"60, 180, 970, 5830"
Nonverbal Learning Disorder,"140, 570, 730, 7500"
Noonan Syndrome,"40, 180, 780, 2500, 7500"
Normalize Estrogen Production Male and Female,1351
Normalize Red Blood Cell Production,1524
Normalize White Blood Cell Production,1434
Nose Diseases,"180, 320, 800, 5500"
Nose Disorders,"20, 440, 727, 787, 880"
Numbness,"440, 600, 625, 650, 660, 727, 787, 802, 880, 1550, 1600, 1800, 2170, 2489, 2720, 10000"
Nystagmus Pathologic,"70, 370, 950, 7500"
Oat Smut,806
Ochoa Syndrome,"190, 370, 910, 3200"
Ocular Motility Disorders,"170, 320, 950, 5500"
Oculocerebrorenal Syndrome,"70, 370, 950, 7520"
Oculomotor Nerve Diseases,"130, 400, 730, 830, 5750, 7250"
Odontogenic Tumors,"130, 520, 620, 5870"
Olfaction Disorders,"110, 490, 570, 5250"
Oligodena,853
Oliguria,"170, 350, 830, 7500"
Olivopontocerebellar Atrophies,"80, 410, 800"
Onchocerca Volvulus (Tumor),3600
Onchocerciasis,"150, 250, 720, 850, 7500, 8000"
Onychomycosis,"70, 400, 900"
Oospora,"5346, 9599"
Ophthalmoplegia Progressive Supranuclear,"180, 220, 3520"
Ophthalmoplegia,"350, 750, 1750"
Optic Atrophies Hereditary,"70, 570, 600"
Optic Nerve Diseases,"10, 180, 700, 2250, 5290"
Optic Neuritis,"70, 460, 620, 970, 2750"
Oral Lesions,"146, 444, 465, 522, 727, 787, 802, 880, 1550, 1600, 1800, 2008, 2489, 2720"
Orbital Cellulitis,"30, 500, 850, 5250"
Orchitis Secondary,"727, 787, 880, 10000"
Organ Healing,7
Ornithosis,"331, 583, 1217"
"Ornithosis,Parrots","233, 331, 332, 583, 859, 1217"
Ornithosis,583
"Osteitis ,Bone","724, 736, 743, 770"
Osteitis Deformans,"300, 830, 7500, 8000"
Osteitis,770
"Osteoarthritis,Joints","770, 962, 1500"
Osteoarthritis,"60, 410, 870, 7500, 8000"
Osteochondritis,"140, 300, 830, 7500"
Osteogenesis Imperfecta,"120, 200, 620"
Osteomalacia,"100, 220, 680, 7250"
Osteomyelitis,"160, 230, 7730"
Osteomyelosclerosis,"79, 330"
Osteonecrosis,"130, 220, 930, 5500"
Osteopetrosis,"50, 460, 950, 7500"
Osteoporosis,"30, 240, 700, 1770"
Osteosarcoma,"10, 240, 730, 7900"
Osteo Sinusitis Max,"243, 327"
Ostomy,"50, 400, 730, 900, 5910"
"Otitis Externa,Ear","174, 482, 727, 787, 880, 5311"
"Otitis Medinum,Ear","72, 125, 316, 440, 522, 600, 683, 688, 766, 776, 784, 786, 802"
"Otitis,Ear","100, 520, 780, 800, 2250, 5260"
Otorhinolaryngologic Disease,"170, 520, 680, 830, 2500"
Otosclerosis,"80, 250, 900, 2250, 5750"
Ovarian Cyst,982
"Ovarian Cyst,Ovary","567, 711, 982"
Ovarian Cysts,"60, 400, 830, 5250"
"Ovarian Elimination Stimulation,Ovary","20, 800, 1550"
Ovum,752
Ox Bile,672
Oxygenate Cells,16
Ozaena,"184, 222, 439"
Ozone Generate,"16, 78"
Paget's Disease Mammary,"80, 490, 680, 7500"
Paget's Disease of Bone,"80, 490, 680, 9720"
Pain Acute,"95, 666, 690, 727, 787, 802, 880, 1550, 3000, 10000"
Pain Back,"180, 420, 810, 5180"
Pain Control,9
Pain Decrease,10
Pain General,"80, 95, 666, 3000"
Pain of Cancer,"95, 666, 690, 727, 2008, 2127, 3000"
Pain of Infection,"95, 727, 776, 787, 802, 880, 1550, 3000"
Pain Relief,"80, 304, 666, 3000, 6000"
Pain,"95, 160, 350, 950, 3040, 5260"
Pallister-Killian Syndrome,"80, 250, 900, 2250, 5290"
Palsy Cerebral,"146, 522, 660, 690, 787, 880, 1000"
"Palsy General,Brain",10000
Pancreas,"440, 464, 600, 624, 648, 727, 787, 880, 1552"
Pancreas Disorder,"727, 787, 880, 10000"
Pancreas Fluke,"1200, 1850, 2000, 2003, 2008, 2013, 2050, 2080, 6578"
Pancreas Function Stimulate Normal,654
"Pancreas,Pancreas","440, 464, 600, 624, 648, 727, 787, 880, 1552"
Pancreas,10
Pancreatic Diseases,"80, 400, 830, 5470"
Pancreatitis,"30, 520, 680, 2750, 7500"
Panniculitis,"80, 490, 650, 7500"
Pantothenate Kinase-Associated Neurodegeneration,"160, 350, 950, 5870"
Papilledema,"50, 400, 850, 2500"
Papilloma HPV 33,2289
"Papilloma Kidney,Kidney","110, 148, 264, 634, 767, 848, 917, 760, 762, 1102"
Papilloma,"40, 320, 570, 850, 5250, 7250"
Papillomavirus,"45, 110, 265, 404, 466, 489, 767, 874, 907, 1011, 1051, 5657, 9258, 9609"
Papillomavirus Cyst,"110, 148, 264, 634, 760, 762, 767, 848, 874, 907, 917, 1102"
Papillomavirus Infections,"50, 320, 600, 850"
Papillomavirus,907
Paraceli,232
Paradontose,"424, 1552"
Paraganglioma,"10, 40, 300, 650, 900, 2500"
Paragonimus Westermani Adult,3600
Paralysis Familial Periodic,"50, 120, 870, 3210"
"Paralysis from Stroke,Nerve","20, 40, 72, 95, 125, 146, 333, 428, 522, 600, 625, 650, 727, 787, 880, 1800, 1865"
"Paralysis Nonspastic,Nerve","20, 72, 95, 125, 444, 600, 625, 650, 727, 776, 787, 880, 1865, 10000"
"Paralysis Spastic,Nerve","20, 72, 95, 125, 444, 600, 625, 650, 727, 776, 787, 880, 1865, 10000"
Paralysis,"20, 220, 970, 7500"
Paramecium Caudatum,"1150, 2298, 4500"
Paraneoplastic Syndromes Nervous System,"140, 490, 600, 830, 2250"
Paraphilias,"60, 240, 780, 830, 2500"
Paraproteinemias,"130, 400, 680, 800, 5260"
Parapsoriasis,"80, 370, 780, 900, 7520"
Parasites Anaplasma Marginale,"680, 900, 2500, 5500"
Parasites Ancylostoma Braziliense Adult,"680, 900, 2500, 5500"
Parasites and Amoebas,"20, 72, 95, 125, 444, 1865"
Parasites Ascaris,"152, 442, 751, 797, 1146, 8146"
Parasites Besnoitia Lung Sect,"680, 900, 2500"
Parasites Blood Flukes,"329, 419, 635, 847, 5516, 7391, 9889"
"Parasites Brain and Spinal Flukes,Nerve","421, 434"
Parasites Capillaria Hepatica Liver Sect,"680, 900, 2500"
Parasites Chilomastix Cysts Rat,2500
Parasites Chilomonas Whole Mount,2500
Parasites Clonorchis Sinensis,"680, 900, 2500, 5500"
Parasites Common Roundworm Cats and Dogs,"680, 900, 2500"
Parasites Cryptocotyle Lingua Adult,"680, 900, 2500, 5500"
Parasites Dientamoeba Fragilis,"680, 900, 2500, 5500"
Parasites Dirofilaria Immitis Dog Heartworm,2500
Parasites Echinoporyphium Recurvatum,2500
Parasites Entamoeba Gingivalis Trophozoite,"810, 1420, 4320, 5500"
"Parasites Enterobiasis,Anus","20, 120, 773, 826, 827, 835, 4152"
Parasites Fasciola Hepatica Eggs,"20, 320, 680, 950, 7500"
Parasites Fasciola Hepatica Miracidia,"20, 320, 650, 950"
Parasites Fasciola Hepatica Rediae,"20, 320, 730, 950, 2500"
Parasites Fasciolopsis Buski Adult,"30, 230, 830, 5170"
Parasites Fasciolopsis Buski Eggs,"30, 250, 830, 5430"
Parasites Fasciolopsis Cercariae,"30, 300, 830, 5250"
Parasites Fasciolopsis Miracidia,"30, 370, 830, 5170"
Parasites Fasciolopsis Rediae,"30, 460, 870, 5250"
"Parasites Filariose,Blood Organs","112, 120, 332, 753"
Parasites Filariose,"230, 500, 2800, 5230"
Parasites Fischoederius Elongatus,"190, 520, 780, 1220, 5200"
Parasites Flatworms,"30, 240, 700, 1290"
Parasites Flukes Blood,"140, 320, 870, 2580"
Parasites Flukes General,"110, 320, 900, 2530"
Parasites Flukes Intestinal,"70, 320, 970, 2380"
Parasites Flukes Liver,"180, 400, 800, 5500"
Parasites Flukes Lymph,"180, 370, 800, 5250"
Parasites Flukes Pancreatic,"170, 320, 500, 2750"
Parasites Flukes Pancreatic,"170, 320, 850, 2750"
Parasites Flukes Sheep Liver,"150, 380, 930, 2520"
"Parasites Follicular Mange,Hair Skin","253, 693, 701, 774"
Parasites Follicular Mange,"520, 680, 970, 2500"
Parasites Gastrothylax Elongatus,"20, 240, 750, 930, 2500"
Parasites General,"187, 294, 387, 453, 562, 697, 752, 772, 844, 947, 1113, 3437"
Parasites General,"20, 64, 72, 96, 112, 120, 152, 651, 732, 1360, 2720, 10000"
Parasites General,"410, 600, 850, 5170"
Parasites Giardia Lamblia Type,"40, 320, 650, 900, 5870, 7500"
Parasites Giardia Lamblia,"10, 320, 650, 900, 5870, 7500"
"Parasites Giardia,Intestines","334, 407, 812, 829, 2018, 4334, 5429"
Parasites Giardia,"50, 120, 900, 5500"
Parasites Gyrodactylus,"160, 300, 570, 850, 2750"
Parasites Haemonchus contortus,"30, 120, 800, 2500"
"Parasites Heartworms,Lung","200, 535, 543, 799, 1077, 2322"
Parasites Heartworms,"130, 220, 930, 5500"
"Parasites Helminthosporium,Skin","164, 793, 969, 5243"
Parasites Helminthosporium,"40, 320, 650, 900, 5750, 7500"
"Parasites Hookworm,Intestines","440, 2008, 6436, 5868"
Parasites Hookworm,"160, 300, 570, 950, 2500, 5500"
"Parasites Intestinal Flukes,Intestines","524, 651, 676, 844, 848, 2008, 2084, 2128, 2150, 6766"
"Parasites Leishmania Braziliensis,Skin",787
Parasites Leishmania Braziliensis,"50, 460, 950, 7500"
"Parasites Leishmania Donovan,Skin Liver Spleen","525, 781"
Parasites Leishmania Donovani,"50, 230, 900, 7500"
Parasites Leishmania Mexicana,"50, 550, 950, 7500"
Parasites Leishmania Tropica,"50, 120, 791, 800, 7500"
"Parasites Liver Flukes,Liver","143, 238, 275, 676, 763, 6641, 6672"
"Parasites Lymph Flukes,Lymph",157
Parasites Macracanthorhynchus,"120, 230, 600, 2500, 2750"
Parasites Metagonimus Yokogawai,"70, 120, 680, 950, 2500, 7500"
Parasites Nematode,"70, 120, 680, 950, 2500, 7500"
"Parasites Pancreatic Flukes,Pancreas","1850, 2000, 2003, 2008, 2013, 2050, 2080, 6578"
Parasites Pancreatic Flukes,"70, 520, 750, 970, 2500"
Parasites Paragonimus Westermani,"120, 230, 600, 2500, 2750, 5430"
Parasites Passalurus Ambiguus,"130, 400, 600, 950, 5170, 7250"
Parasites Roundworms,"60, 520, 620, 930, 2500"
"Parasites Scabies,Skin","90, 94, 98, 102, 106, 110, 253, 600, 920, 1436, 1800, 2871, 5742"
Parasites Scabies,"70, 120, 800, 5500"
"Parasites Schistosoma Haematobium,Bladder","847, 867, 635"
Parasites Schistosoma Haematobium,"170, 550, 950, 5250"
Parasites Schistosoma Haematobium,"180, 240, 600, 870, 2250"
"Parasites Schistosoma Mansoni,Intestines","329, 9889"
Parasites Schistosoma Mansoni,"370, 950, 2750, 3000"
"Parasites Sheep Liver Flukes,Liver","826, 830, 834"
Parasites Streptococcus Pneumoniae,"680, 900, 2500, 5500"
Parasites Strongyloides Secondary,"380, 698, 722, 738, 746, 752, 776, 1113"
"Parasites Strongyloides,Intestines","332, 422, 721, 732, 749, 942, 3212, 4412"
"Parasites Taenia,Intestines","164, 187, 453, 523, 542, 623, 803, 843, 854, 1223, 3032, 5522"
"Parasites Tapeworms Echinococcus,Intestines","164, 453, 542, 623"
Parasites Tapeworms Echinococcus,"100, 250, 680,  2500, 5870, 7500"
"Parasites Tapeworms Secondary,Intestines","142, 187, 624, 662"
"Parasites Tapeworms,Intestines","164, 453, 523, 542, 623, 803, 843, 854, 1223, 3032"
Parasites Tapeworms,"100, 250, 680, 2750, 5750, 7500"
"Parasites Threadworm,Intestines","332, 422, 721, 732, 749, 942, 3212, 4412"
Parasites Threadworm,"680, 900, 2500, 5500"
"Parasites Trichinosis,Intestines","101, 541, 822, 1054, 1372"
Parasites Trichinosis,"20, 350, 750, 930, 5750, 7500"
Parasites Trichomonas Vaginalis,"40, 320, 730, 970"
Parasites Trichuris,"50, 120, 750, 800, 5170"
Parasites Trypanosoma Brucei,"130, 570, 850"
Parasites Trypanosoma Equiperdum,"130, 570, 850, 5750, 7500"
Parasites Trypanosoma Gambiense,"130, 570, 850, 7500"
Parasites Trypanosoma Lewisi,"150, 120, 620, 830, 2750"
Parasites Trypanosoma Lewisi,"60, 570, 850, 5250, 7000"
Parasites Trypanosoma Rhodesiense,"70, 220, 680, 970, 2250, 5750"
Parasites Trypanosoma Rhodesiense,"130, 570, 850, 5170"
Parasites Turbatrix,104
Parasites Turbatrix,"20, 230, 730, 2500, 5250, 7000"
Parasites Turbatrix,"240,700,970"
Parasites Urocleidus,"80, 400, 730, 900, 2500, 5170"
Parasites Urocleidus,"130, 230, 750, 850, 5250, 7250"
Parasites,"20, 72, 95, 125, 444, 1865"
Parathyroid Diseases,"190, 500, 700, 970"
Parkinson's Disease,813
"Parkinson's Disease,Nerve","470, 693, 813, 1131, 1800, 5000"
Parkinson's Disease,"80, 350, 650, 830, 9500"
Parkinson's Tremor Temporary Relief,"130, 169, 600"
Parkinsonian Disorders,"570, 780, 900, 5250, 7000"
Paronychia,"20, 320, 620, 970"
Parrot Fever,"233, 338, 332, 583, 859, 1217"
Parvovirus Canine Mutant Strain,"323, 514"
Parvovirus Canine,"185, 323, 562, 613, 622, 1000, 4027"
"Parvovirus Canine,Dogs","637, 185, 323, 562, 613, 622, 1000, 4027"
Passalurus Ambiguus,3600
Pasteurella Combination,913
Peace and Relaxation,"1, 2, 3"
Pellagra,"190, 230, 950"
Pelvic Inflammatory Disease,"10, 40, 460"
Pernicious,"232, 622, 822, 4211"
Pemphigoid Bullous,"170, 180, 830, 2500"
Pemphigus Benign Familial,"190, 570, 1120, 7500"
"Pemphigus,Skin","665, 694, 893"
Pemphigus,"30, 120, 893, 950, 2750"
Penicillium Chrysogenum Secondary,"345, 688, 728, 764, 765, 868, 1070, 2411"
Penicillium Chrysogenum,"344, 868, 1070, 2411"
Penicillium Chrysogenum,"129, 249, 344, 967"
Penicillium Chrysogenum,"344, 2411"
Penicillium Notatum,"321, 555, 629, 825, 942"
Penicillium Rubrum,"332, 457, 460, 462, 766, 1015, 1018"
Penile Diseases,"10, 40, 520"
Penile Induration,"10, 570, 620, 950, 7500"
Penny Royal,772
Pinguecula,"626, 746, 755, 948, 1375, 6965"
Peptic Ulcer,"130, 490, 620, 9930"
PeptoStreptococcus,"201,629"
Perception Heighten,40
Pericardial Effusion,"190, 500, 570, 1470"
"Pericarditis,Heart","20, 72, 95, 125, 625, 727, 787, 802, 880, 1550, 1600, 2170, 2720"
Pericarditis,"80, 350, 750"
"Periodontal Disease,Oral Cavity","600, 625, 650, 727, 776, 787, 880, 1600, 1800"
Periodontal Disease,1800
Periodontal Diseases,"60, 320, 730, 870"
Peripheral Nervous System Diseases,"70, 240, 8600"
Peripheral Vascular Diseases,"70, 220, 730"
Peritonitis,"727, 787, 880"
Perniosis,"232, 622, 822, 4211"
Peroxisomal Disorders,"60, 260, 570, 9000"
Personality Disorder Borderline,"170, 220, 720"
Pertussis,"526, 727, 765, 776, 787, 802, 832, 880, 1234, 7344"
Pesticide Detox,"1, 6, 26, 73"
Peter's Anomaly,"70, 120, 650"
Peutz-Jeghers Syndrome,"140, 550, 950"
Phantom Limb,"160, 550, 950"
Phaqocyross Stimulation,"20, 125, 727, 787, 880"
Pharyngeal Diseases,"40, 500, 950, 2750"
"Pharyngitis,Throat","20, 146, 380, 440, 522, 727, 776, 784, 802, 880, 1550, 1600"
Pharyngitis,"140, 220, 730, 5250, 7250"
Phenylketonurics,"70, 410, 730, 5850"
Pheochromocytoma,"60, 490, 730, 3210"
Phimosis,"80, 240, 570, 970, 2500"
"Phlebitis,Veins","776, 1500"
Phlebitis,"50, 370, 870, 2250"
Phlebotomus Fever,"30, 250, 2780"
Phobic Disorders,"20, 230, 650"
Phoma Destructiva,"163, 621, 815"
Photophobia,"500, 570, 870"
Photosensitivity Disorders,"130, 240, 1700"
Pilonidal Cyst,"130, 570, 6750"
Pineal Function Stimulate Normalize,"480, 662"
Pineal Gland Balance,"20, 537, 662"
Pineal Gland Fever,"20, 10000"
Pineal Gland Stimulate,20
Pinworms,"70, 520, 750, 3970, 8500"
Pituitary Diseases,"370, 970, 2750"
Pituitary Function Normalize,635
Pituitary Gland Dysfunction,20
Pituitary Gland Stimulate,4
Pituitary HGH Production Stimulate,645
Pituitary,13
Pityriasis,"200, 320, 2880, 5250"
Plagiocephaly Nonsynostotic,"80, 240, 670, 5170"
Plague,"210, 216, 333, 500"
Plague,"50, 260, 570, 2500"
Plant Poisoning,"130, 520, 1730, 7250"
Plantaris,2008
"Plasmacytoma,Respiratory",275
Plasmacytoma,475
Plasmodium Cynomolgi,3600
Plasmodium Falciparum Smear,3600
Plasmodium Vivax Smear,3600
Platelet Storage Pool Deficiency,"110, 490, 780"
Pleural Diseases,"130, 350, 5850"
Pleural Effusion,"361, 474, 612, 787"
Pleural Effusion,"170, 310, 820, 7500"
"Pleurisy,Lung","20, 72, 95, 125, 444, 450, 727, 776, 787, 802, 880, 1550, 1865"
Pleurisy,"80, 410, 1470, 5250"
Pneumococcal Infections,"50, 350, 2750"
Pneumococcus Mixed Flora,"158, 174, 645, 801"
Pneumococcus,"231, 232, 683, 846, 8865"
Pneumococcus,683
Pneumocystis Carnil (Lung),3600
Pneumocystis,"204, 340, 742"
"Pneumonia Bronchial,Lung","452, 550, 578, 727, 776, 787, 802, 880, 1474"
Pneumonia Klebsiella Pneumoniae,"412, 766"
"Pneumonia Klebsiella,Lung","412, 413, 746, 765, 766, 776, 779, 783, 818, 840"
Pneumonia Mycoplasma,688
"Pneumonia Walking,Lung","660, 688, 777, 975, 2688"
"Pneumonia,Lung","20, 412, 450, 660, 683, 688, 727, 766, 776, 787, 802, 880, 975, 1238, 1550, 1862, 2688"
Pneumonia,"50, 350, 750, 930, 5710, 7500"
Pneumothorax,"240, 700, 5500, 7500"
"Pneumovirus,Respiratory","278, 336, 712"
POEMS Syndrome,"40, 220, 620, 5500"
Poikiloderma of Civatte,"110, 490, 780"
Poland Syndrome,"190, 260, 600"
Polio Secondary Complications,"428, 727, 787, 802, 880, 1500, 1550"
Polio,"135, 283, 742, 776, 1500, 1850, 2632"
Poliomyelitis,"20, 120, 750"
Polyarteritis Nodosa,"80, 320, 730, 3870"
"Polyarthritis,Joints",512
Polychondritis Relapsing,"40, 120, 950"
Polycystic Kidney Diseases,"160, 550, 950, 7500"
Polycystic Ovary Syndrome,"40, 500, 970, 2750"
Polycythemia Vera,"140, 220, 730"
Polyendocrinopathy Autoimmune,"50, 260, 570, 2500"
Polyhydramnios,"180, 550, 1000, 5250"
Polymyalgia Rheumatica,"170, 550, 950, 5710"
Polymyositis,"70, 930, 2950"
Polyneuropathies,"130, 830, 3730"
Polyomavirus Infections,"130, 500, 520, 6750"
Polyp General,"20, 146, 444, 465, 522, 600, 625, 650, 666, 690, 727, 1600, 1800, 2008, 2127, 2170, 2489, 2720"
"Polyp Nasal,Nose","542, 1436"
Polyp Uterine,689
Polyradiculopathy,"110, 490, 780"
Popliteal Cyst,"170, 350, 8850"
Porphyria Erythropoietic,"80, 410, 2830"
Porphyria,698
Porphyrias,"150, 250, 3970"
Post Surgery Detox Anaesthesia,"146, 522"
Post Commissurotomy Syndrome,"30, 330, 1220"
Prions,505
Problem-solving,"5, 40"
"Proctitis,Anus","430, 620, 624, 840, 866, 2213"
Proctocolitis,490
Progeria,"40, 120, 950"
Progesterone Normalize Level,"763, 1443, 1446"
Prognathism,"80, 240, 920, 1800, 2250"
Program Finale,465
Propionibacterium Acnes,"360, 1200"
Propionibacterium Acnes,3600
Prosopagnosia,"240, 730, 870, 7500"
Prostate Adenominum,"442, 688, 748, 766, 920, 1875"
Prostate Complaints,"20, 73, 95, 125, 360, 465, 666, 690, 880, 2008, 2127"
Prostate Enlarged,"666, 690, 830, 920, 1870, 2050, 2128, 2250, 5630"
Prostate Gland,5000
Prostate Hyperplasia,920
Prostate Problems General,"9, 20, 72, 95, 125, 408, 465, 666, 690, 727, 728, 787, 802, 880, 2008, 2128, 2720"
Prostate Tumor,"666, 690, 727, 2008, 2127"
Prostate,"727, 787, 880, 5000"
Prostatic Diseases,"130, 570, 830, 2250, 5710"
Prosthesis Implantation,"100, 520, 870, 3200"
Prosthodontics,"170, 720, 1650"
Prosthogonimus Macrorchis Egg,3600
Proteinuria,"50, 410, 870"
Proteus Mirabilis,3600
Proteus Syndrome,"60, 250, 870"
Proteus Vulgaris,3600
Proteus,"424, 434, 834"
Protomyxzoa Rheumatica,"515, 1260, 1583"
Protozoa,"432, 753, 5776"
Protozoan Infections,"20, 230, 850, 5710"
Prune Belly Syndrome,"80, 520"
Pruritus Vulvae,"160, 350, 950, 5500"
Pruritus,"60, 490, 9650"
Pseudo-Gaucher Disease,"60, 250, 870, 5310"
Pseudomonas Aeruginosa,3600
Pseudomonas Infections,"60, 230, 8850"
Pseudomonas Mallei,"501, 687, 743, 774, 857, 875, 1273"
Pseudomonas Pyocyanea,437
Pseudomonas,"174, 482, 5311"
Pseudomyxoma Peritonei,"80, 520, 650, 2500, 4160"
Pseudotumor Cerebri,"60, 490, 680, 7500"
Pseudoxanthoma Elasticum,"160, 350, 950, 5500"
Psittacosis,"233, 331, 332, 583, 859, 1217"
Psittacosis,"40, 230, 1217, 1970"
Psoriasis,"50, 104, 550, 1780, 5970"
Psorinum,"767, 786"
Psychotic Disorders,"570, 680, 870, 2500, 5710"
Pterygium,"80, 2180"
Ptosis,10000
Puerperal Disorders,"140, 890, 1920, 5850"
Puerperal Infection,"140, 890, 1920, 5850"
Pullularia Pullulans,1364
"Pullularia Pullulans,Lung","432, 684, 739, 750, 873, 1364"
Pulmonary Alveolar Proteinosis,"50, 410, 920, 1970"
Pulmonary Atresia,"150, 410, 680, 980, 7520"
Pulmonary Cancer,"230, 410, 720, 870, 5500"
Pulmonary Disease Chronic Obstructive,"370, 410, 620, 970, 7500"
Pulmonary Diseases,"160, 210, 420, 970, 7540"
Pulmonary Edema,"410, 750, 820, 970, 7500"
Pulmonary Embolism,"350, 410, 920, 970, 7500"
Pulmonary Emphysema,"550, 410, 620, 1970, 7500"
Pulmonary Fibrosis,"220, 410, 620, 650, 4970, 7500"
Pupil Disorders,"20, 240, 1570, 9850"
Purpura Schoenlein-Henoch,"60, 500, 600, 3870"
Purpura Thrombocytopenic,"40, 500, 600, 9070"
Purpura Thrombotic Thrombocytopenic,"50, 500, 1900"
Purpura,"130, 230, 650"
Pyelitis Proteus,594
"Pyelitis Proteus,Kidney","434, 594, 776"
Pyelonephritis,"50, 350, 750, 930, 5250, 7500"
Pyocyaneus,437
Pyoderma Gangrenosum,"30, 320, 730, 950"
Pyoderma Gangrenosum,"123, 132, 663, 967, 974, 1489, 1556"
"Pyoderma,Skin","123, 132, 663, 967, 974, 1489, 1556"
"Pyorrhea,Teeth","146, 444, 465, 522, 727, 776, 787, 802, 880, 1550, 1600, 1800, 2008, 2489, 2720"
Pyorrhea,444
Pyrogenium 62,"151, 429, 497, 498, 594, 622, 872"
Pyrogenium Ex Ovo,"231, 1210, 1216, 1244"
Pyrogenium Fish,"287, 304"
Pyrogenium Mayo,1625
Pyrogenium Suits,"341, 356, 673"
Q Fever,"129, 523, 549, 607, 632, 720, 726, 943, 1062, 1357"
Q Fever,"800, 1120, 9850"
Quadriplegia,"150, 460, 950, 5850"
"Rabies,Viral","20, 120, 547, 793"
Rabies,"70, 180, 1650, 7930"
Radiation Burns,"190, 200, 465, 660, 690, 727, 787, 880, 10000"
Radiation Detox,"250, 500, 2750"
Radiation Remove All,"6, 437, 847, 972"
Radiculopathy,"5, 321, 481"
"Ragweed,Allergies",473
Ranula,"180, 550, 1000, 7500"
Rat Bite Fever,"170, 550, 950"
"Raynaud's Disease,Fingers","20, 727"
Raynaud's Disease,"70, 500, 970, 9000"
Reconstructive Surgical Procedures,"60, 230, 730, 870"
Rectal Diseases,"190, 520, 570, 800, 2250"
Rectal Prolapse,"130, 230, 750, 850"
Red Blood Cell Production Normalize,1524
Refetoff Syndrome,190
Reflex Sympathetic Dystrophy,"90, 520, 650, 930, 5710"
Refractive Errors,"30, 240, 700"
Refractory Anemia,435
Refsum Disease,"10, 410, 620, 970, 7500"
Regeneration and Healing,"2, 4, 7, 47, 148, 2720"
Reinke's Edema,"80, 160"
Relapsing Fever,"80, 570, 900, 5710"
Relationships,"9, 639"
Relaxation Enhance,8
Relaxation to Produce,"10, 6000"
Relaxation/Mood/Sleep,10
Renal Artery Obstruction,"70, 550, 850, 7580"
Renal Calculi,"444, 727, 787, 880, 1552, 3000, 6000, 10000"
Renal Dialysis,"60, 500, 870"
Renal Osteodystrophy,"40, 550, 780, 970, 5870"
Reproductive System,9
Reproductive,"335, 536, 622, 712"
Reptile Diseases,"160, 570, 650, 870, 2500"
Respiratory Chain Deficiencies Mitochondrial,"160, 350, 930, 2500"
Respiratory Diseases,"5, 214, 823"
Respiratory Distress Syndrome Newborn,"70, 550, 650, 870, 7500"
Respiratory Failure Acute,"1, 257, 814"
Respiratory Hypersensitivity,"60, 550, 700, 9870"
Respiratory Syncytial Virus Infections,"10, 40, 550, 570, 870, 7500"
"Respiratory Syncytial Virus,Respiratory","278, 336, 712"
Respiratory Syncytial Virus,3600
Respiratory Tract Disease,"100, 550, 730, 870"
Restless Legs Syndrome,"160, 570, 7780"
Retardation Mental,"140, 230, 410, 2370, 4050"
Retinal Detachment,"80, 460, 1000, 7500"
Retinal Diseases,"70, 500, 1000, 7500"
Retinitis Pigmentosa,"70, 500, 1000, 7500"
Retinoblastoma,"550, 680, 870, 7500"
Retinopathy of Prematurity,"160, 570, 780, 950, 8500"
Retinoschisis,"40, 120, 950"
Retroperitoneal Fibrosis,"70, 460, 650"
Retropharyngeal Abscess,"120, 250, 620, 2500, 3000"
Retrovirus Variants,"448, 465, 727, 787, 800, 880, 2489, 10000"
Rett Syndrome,"130, 230, 620, 9970"
Reye Syndrome,"40, 120, 950"
Rhabdoid Tumor,"70, 460, 650, 950"
Rhabdomyolysis,"70, 180, 730"
